Ingredients_Allergy_ID,Ingredients_Code,Allergy_Code,Product_Check
391,I00210,,1
392,I00211,A14,1
393,I00211,A17,1
397,I00215,A14,1
398,I00216,A14,1
399,I00216,A17,1
400,I00216,A06,1
401,I00216,A07,1
402,I00216,A02,1
403,I00216,A10,1
404,I00216,A09,1
408,I00220,,1
413,I00225,A19,1
414,I00226,A17,1
438,I00250,A18,1
439,I00250,A17,1
449,I00260,A17,1
463,I00273,A14,1
464,I00273,A01,1
469,I00278,A17,1
470,I00278,A10,1
471,I00278,A14,1
472,I00278,A02,1
473,I00278,A03,1
476,I00281,,1
487,I00292,A17,1
488,I00292,A14,1
489,I00292,A10,1
501,I00304,C19,1
504,I00307,,1
520,I00323,,1
530,I00333,A10,1
531,I00333,A14,1
532,I00333,A17,1
533,I00333,A03,1
534,I00333,A02,1
535,I00333,A01,1
543,I00341,A14,1
544,I00342,,1
546,I00344,A14,1
548,I00346,A10,1
549,I00346,A14,1
550,I00347,A17,1
551,I00347,A14,1
552,I00347,A10,1
553,I00347,A01,1
554,I00347,A11,1
556,I00349,A14,1
557,I00349,A17,1
558,I00349,A11,1
560,I00351,A14,1
568,I00359,A05,1
569,I00359,A14,1
570,I00359,A17,1
573,I00362,A06,1
574,I00362,A14,1
575,I00362,A17,1
576,I00363,A06,1
579,I00366,A14,1
580,I00366,A17,1
581,I00366,A06,1
582,I00367,A06,1
583,I00367,A11,1
584,I00367,A14,1
585,I00367,A17,1
586,I00367,A02,1
587,I00367,A04,1
588,I00367,A03,1
590,I00369,A06,1
591,I00369,A17,1
592,I00370,A06,1
593,I00370,A14,1
594,I00370,A17,1
595,I00371,A01,1
596,I00371,A06,1
597,I00371,A10,1
598,I00372,A01,1
599,I00372,A10,1
600,I00372,A14,1
601,I00372,A17,1
602,I00372,A06,1
603,I00372,A16,1
604,I00372,A04,1
605,I00372,A02,1
606,I00373,A06,1
607,I00373,A14,1
608,I00373,A01,1
609,I00373,A02,1
611,I00375,A06,1
612,I00375,A05,1
613,I00375,A14,1
614,I00375,A17,1
622,I00383,,1
623,I00384,A01,1
624,I00385,A14,1
625,I00385,A01,1
626,I00385,A02,1
629,I00388,A14,1
630,I00388,A17,1
640,I00398,A17,1
641,I00399,A11,1
642,I00399,A12,1
643,I00400,A11,1
644,I00400,A12,1
652,I00408,A17,1
653,I00408,A01,1
654,I00408,A10,1
655,I00409,A01,1
657,I00411,A01,1
660,I00414,A17,1
661,I00414,A10,1
662,I00414,A14,1
663,I00414,A01,1
664,I00415,A01,1
665,I00415,A14,1
666,I00415,A17,1
667,I00416,A01,1
670,I00419,,1
674,I00423,A14,1
675,I00424,,1
677,I00426,,1
679,I00428,,1
680,I00429,A17,1
683,I00432,A14,1
684,I00433,A10,1
687,I00436,A14,1
688,I00436,A01,1
689,I00436,A17,1
696,I00443,A17,1
700,I00447,A14,1
701,I00447,A17,1
702,I00448,A05,1
703,I00449,A14,1
704,I00450,A17,1
705,I00450,A14,1
715,I00456,A14,1
716,I00456,A17,1
717,I00456,A03,1
718,I00456,A16,1
719,I00456,A02,1
720,I00457,A03,1
721,I00457,A14,1
722,I00457,A17,1
723,I00457,A02,1
724,I00457,A19,1
727,I00459,A03,1
728,I00459,A04,1
729,I00459,A02,1
730,I00459,A17,1
731,I00459,A14,1
735,I00462,A03,1
736,I00462,A17,1
737,I00462,A14,1
738,I00463,A02,1
739,I00463,A03,1
740,I00463,A14,1
741,I00463,A17,1
742,I00463,A01,1
743,I00463,A10,1
744,I00463,A16,1
747,I00465,A03,1
748,I00465,A17,1
749,I00466,A03,1
750,I00466,A04,1
751,I00466,A02,1
752,I00466,A14,1
753,I00466,A17,1
754,I00467,A14,1
760,I00470,A10,1
761,I00470,A14,1
762,I00470,A17,1
763,I00470,A03,1
764,I00470,A02,1
765,I00470,A09,1
768,I00473,A10,1
775,I00480,A14,1
776,I00480,A17,1
777,I00481,A14,1
778,I00481,A17,1
779,I00482,A05,1
780,I00483,A08,1
782,I00485,A14,1
783,I00485,A17,1
785,I00487,A17,1
788,I00490,A17,1
789,I00490,A03,1
790,I00490,A14,1
791,I00490,A01,1
792,I00491,A10,1
793,I00492,A17,1
794,I00492,A14,1
795,I00492,A16,1
796,I00492,A01,1
797,I00492,A03,1
798,I00492,A04,1
799,I00492,A02,1
800,I00492,A10,1
801,I00492,A19,1
802,I00492,A09,1
803,I00493,A02,1
804,I00493,A03,1
805,I00493,A14,1
806,I00493,A17,1
807,I00493,A01,1
808,I00493,A10,1
809,I00493,A16,1
810,I00494,,1
812,I00496,A14,1
816,I00500,A14,1
817,I00500,A17,1
824,I00507,A17,1
832,I00515,A14,1
833,I00515,A17,1
834,I00516,A16,1
835,I00516,A17,1
837,I00518,,1
838,I00519,A14,1
839,I00519,A01,1
840,I00520,,1
842,I00522,A17,1
843,I00522,A14,1
845,I00524,,1
846,I00525,A14,1
847,I00525,A17,1
848,I00526,A17,1
849,I00527,,1
852,I00530,A14,1
854,I00532,A14,1
855,I00532,A17,1
856,I00533,A14,1
857,I00533,A17,1
858,I00533,A02,1
859,I00533,A09,1
860,I00534,A14,1
861,I00534,A04,1
862,I00534,A17,1
863,I00534,A09,1
864,I00535,A14,1
865,I00535,A17,1
866,I00536,A14,1
867,I00536,A17,1
868,I00536,A09,1
869,I00537,A10,1
870,I00537,A14,1
871,I00537,A17,1
872,I00537,A03,1
873,I00537,A16,1
874,I00537,A02,1
875,I00537,A04,1
876,I00537,A09,1
877,I00538,A17,1
878,I00538,A14,1
879,I00539,A14,1
880,I00539,A17,1
881,I00540,A02,1
882,I00540,A14,1
883,I00540,A17,1
884,I00541,A14,1
885,I00541,A17,1
886,I00542,A10,1
887,I00542,A14,1
888,I00542,A17,1
889,I00542,A02,1
890,I00542,A03,1
891,I00543,A17,1
892,I00543,A14,1
893,I00543,A01,1
894,I00543,A16,1
895,I00543,A10,1
896,I00543,A04,1
897,I00543,A03,1
898,I00543,A02,1
899,I00543,A09,1
900,I00544,A03,1
901,I00544,A01,1
902,I00544,A14,1
903,I00544,A17,1
904,I00545,,1
906,I00547,A10,1
907,I00547,A14,1
908,I00547,A17,1
909,I00547,A02,1
910,I00547,A04,1
911,I00548,A17,1
912,I00548,A14,1
913,I00548,A10,1
914,I00548,A03,1
915,I00548,A02,1
916,I00548,A04,1
918,I00550,C28,1
919,I00551,A17,1
920,I00552,A01,1
921,I00552,A10,1
922,I00552,A14,1
923,I00552,A17,1
924,I00553,A14,1
925,I00553,A17,1
929,I00557,A01,1
930,I00557,A10,1
931,I00558,,1
932,I00559,A17,1
933,I00559,A01,1
934,I00559,A11,1
938,I00563,A14,1
939,I00563,A17,1
940,I00563,A02,1
941,I00564,A02,1
942,I00564,A04,1
943,I00564,A14,1
944,I00564,A17,1
945,I00564,A10,1
946,I00565,,1
947,I00566,,1
948,I00567,,1
949,I00568,,1
950,I00569,A03,1
951,I00570,,1
952,I00571,C26,1
958,I00577,A10,1
960,I00579,A17,1
961,I00579,A14,1
962,I00580,A02,1
963,I00580,A10,1
964,I00580,A14,1
965,I00580,A17,1
966,I00580,A16,1
967,I00580,A04,1
968,I00580,A09,1
971,I00583,A14,1
972,I00583,A17,1
973,I00584,A14,1
974,I00584,A17,1
975,I00585,A10,1
976,I00585,A14,1
977,I00585,A17,1
978,I00585,A02,1
980,I00587,A02,1
986,I00593,A14,1
987,I00593,A17,1
989,I00595,A17,1
990,I00595,A14,1
991,I00595,A01,1
992,I00595,A10,1
993,I00595,A03,1
994,I00595,A02,1
995,I00596,A04,1
996,I00596,A14,1
997,I00596,A17,1
998,I00596,A19,1
999,I00596,A13,1
1000,I00597,A14,1
1001,I00597,A17,1
1002,I00597,A02,1
1003,I00598,A02,1
1007,I00602,A03,1
1008,I00602,A14,1
1009,I00602,A17,1
1012,I00605,A10,1
1013,I00605,A14,1
1014,I00605,A17,1
1015,I00605,A02,1
1016,I00606,A03,1
1017,I00606,A02,1
1018,I00606,A17,1
1019,I00606,A14,1
1020,I00606,A10,1
1021,I00606,A16,1
1025,I00610,A01,1
1026,I00610,A14,1
1027,I00610,A17,1
1028,I00610,A03,1
1029,I00610,A04,1
1030,I00610,A02,1
1031,I00610,A09,1
1035,I00614,,1
1038,I00617,,1
1039,I00618,,1
1042,I00621,,1
1043,I00622,,1
1044,I00623,A10,1
1045,I00623,A19,1
1046,I00624,,1
1047,I00625,,1
1049,I00627,,1
1050,I00628,,1
1051,I00629,,1
1052,I00630,,1
1053,I00631,C04,1
1054,I00632,A10,1
1055,I00633,,1
1056,I00634,,1
1061,I00639,,1
1062,I00640,,1
1063,I00641,,1
1064,I00642,,1
1065,I00643,A14,1
1066,I00643,A17,1
1067,I00644,A14,1
1068,I00644,A17,1
1069,I00645,A17,1
1070,I00645,A14,1
1071,I00645,A10,1
1072,I00645,A01,1
1076,I00649,,1
1077,I00650,A17,1
1078,I00651,A06,1
1079,I00651,A09,1
1080,I00651,A10,1
1081,I00651,A14,1
1082,I00652,A03,1
1087,I00657,,1
1089,I00659,,1
1090,I00660,,1
1091,I00661,A10,1
1092,I00661,A14,1
1093,I00661,A17,1
1094,I00661,A04,1
1095,I00661,A02,1
1096,I00661,A09,1
1097,I00662,A03,1
1103,I00668,A17,1
1104,I00668,A01,1
1107,I00671,A17,1
1108,I00671,A02,1
1109,I00671,A10,1
1110,I00671,A14,1
1115,I00676,A14,1
1116,I00676,A17,1
1118,I00678,A10,1
1119,I00679,A14,1
1120,I00679,A17,1
1125,I00684,A03,1
1126,I00684,A02,1
1127,I00685,,1
1128,I00686,A14,1
